type,source,status,age_rating,is_adult,year,episodes,duration_min,is_long_running,is_movie,mal_score,mal_scored_by,anilist_score,score_gap_mal_anilist,genres,num_platforms,Action,Adventure,Avant Garde,Boys Love,Comedy,Drama,Fantasy,Girls Love,Gourmet,Horror,Josei,Kids,Mystery,Romance,Sci-Fi,Seinen,Shoujo,Shounen,Slice of Life,Sports,Supernatural,Suspense
TV,manga,finished_airing,r+,False,1997.0,25.0,24.0,False,False,8.61,420760.0,8.4,-0.21,Action | Adventure | Drama | Fantasy | Gore | Horror | Military | Psychological | Seinen,1.0,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
MOVIE,manga,finished_airing,r+,False,1995.0,1.0,83.0,False,True,8.27,368713.0,8.0,-0.27,Adult Cast | Award Winning | Detective | Mecha | Mystery | Psychological | Sci-Fi | Seinen | Suspense,3.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,True
TV,manga,finished_airing,pg_13,False,1996.0,94.0,25.0,False,False,8.27,248952.0,7.9,-0.37,Action | Comedy | Historical | Romance | Samurai | Shounen,4.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
MOVIE,manga,finished_airing,r,False,1997.0,1.0,91.0,False,True,7.55,28759.0,7.1,-0.45,Drama | Historical | Samurai | Shounen,1.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
MOVIE,manga,finished_airing,r+,False,1988.0,1.0,124.0,False,True,8.16,570684.0,7.9,-0.26,Action | Gore | Horror | Sci-Fi | Seinen | Super Power,5.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False
TV,original,finished_airing,pg_13,False,2002.0,26.0,24.0,False,False,6.95,88087.0,6.6,-0.35,Adventure | Fantasy | Mystery | Video Game,0.0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
TV,manga,finished_airing,pg_13,False,2005.0,24.0,24.0,False,False,7.31,80646.0,7.0,-0.31,Comedy | Romance | Seinen | Supernatural,1.0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False
TV,manga,finished_airing,pg_13,False,2001.0,26.0,24.0,False,False,7.27,30089.0,7.0,-0.27,Award Winning | Comedy | Drama | Sci-Fi | Shounen | Strategy Game,0.0,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
TV,manga,finished_airing,pg_13,False,2002.0,24.0,23.0,False,False,7.1,55784.0,6.7,-0.4,Comedy | Drama | Harem | Romance | Seinen,1.0,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
MOVIE,manga,finished_airing,r,False,2004.0,1.0,105.0,False,True,7.05,43063.0,6.5,-0.55,Mecha | Military | Sci-Fi,3.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
TV,game,finished_airing,r,False,1999.0,26.0,22.0,False,False,6.56,6480.0,6.1,-0.46,Action | Adventure | Fantasy | Horror | Sci-Fi,0.0,True,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
TV,original,finished_airing,r,False,2003.0,13.0,24.0,False,False,5.9,7284.0,5.5,-0.4,Adventure | Fantasy | Sci-Fi,0.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
TV,manga,finished_airing,r,False,2004.0,26.0,24.0,False,False,8.29,152428.0,8.0,-0.29,Drama | Music | Shounen,1.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
TV,original,finished_airing,r+,False,1999.0,26.0,23.0,False,False,7.03,32439.0,6.6,-0.43,Adventure | Drama | Gore | Horror | Mecha | Military | Sci-Fi | Space | Survival,0.0,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
TV,manga,finished_airing,pg_13,False,2002.0,26.0,24.0,False,False,7.39,266884.0,7.1,-0.29,Comedy | Drama | Ecchi | Romance | Sci-Fi | Seinen,1.0,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False
TV,manga,finished_airing,r,False,2003.0,24.0,23.0,False,False,7.6,107762.0,7.1,-0.5,Action | Historical | Mythology | Romance | Shounen | Supernatural,1.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False
TV,manga,finished_airing,pg_13,False,2003.0,26.0,23.0,False,False,7.16,101510.0,6.6,-0.56,Action | Comedy | Fantasy | Romance | School | Shoujo,1.0,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
TV,visual_novel,finished_airing,pg_13,False,2003.0,26.0,23.0,False,False,6.72,31692.0,6.2,-0.52,Drama | Harem | Romance,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
TV,manga,finished_airing,r+,False,2004.0,12.0,24.0,False,False,6.55,82644.0,6.0,-0.55,Comedy | Ecchi | Romance | Sci-Fi | Shounen,2.0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False
TV,manga,finished_airing,pg_13,False,2004.0,12.0,24.0,False,False,7.41,102138.0,7.0,-0.41,Action | Drama | Seinen | Supernatural,3.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
TV,manga,finished_airing,pg_13,False,2005.0,12.0,24.0,False,False,7.62,61653.0,7.3,-0.32,Action | Drama | Seinen | Supernatural,2.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
TV,4_koma_manga,finished_airing,pg_13,False,2002.0,26.0,24.0,False,False,8.08,187062.0,7.9,-0.18,CGDCT | Comedy | Gag Humor | School,1.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TV,manga,finished_airing,r,False,2005.0,24.0,24.0,False,False,7.53,82131.0,7.1,-0.43,Action | Adult Cast | Drama | Gore | Historical | Martial Arts | Romance | Samurai | Seinen,2.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
TV,manga,finished_airing,pg_13,False,2005.0,23.0,24.0,False,False,7.31,133964.0,7.1,-0.21,Action | Adventure | Sci-Fi | Shounen | Super Power,2.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
TV,original,finished_airing,pg_13,False,2005.0,25.0,24.0,False,False,6.36,3295.0,5.5,-0.86,Action | Fantasy | Military | Sci-Fi,1.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
TV,light_novel,finished_airing,r,False,2002.0,24.0,24.0,False,False,7.59,252951.0,7.2,-0.39,Comedy | Mecha | Military,5.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TV,light_novel,finished_airing,pg_13,False,2003.0,12.0,24.0,False,False,8.02,182366.0,7.7,-0.32,Action | Comedy | Gag Humor | School,4.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TV,light_novel,finished_airing,r,False,2005.0,13.0,24.0,False,False,7.91,154256.0,7.7,-0.21,Mecha | Military,3.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TV,manga,finished_airing,g,False,2004.0,26.0,25.0,False,False,7.65,54146.0,7.4,-0.25,Comedy | School | Shoujo | Super Power,2.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
TV,original,finished_airing,pg_13,False,2004.0,25.0,24.0,False,False,7.28,16229.0,6.9,-0.38,Drama | Mecha | Military | Sci-Fi,1.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
TV,original,finished_airing,pg_13,False,2004.0,13.0,26.0,False,False,7.42,44541.0,7.1,-0.32,Action | Comedy | Drama | Mahou Shoujo,0.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TV,original,finished_airing,pg_13,False,2005.0,13.0,26.0,False,False,7.96,35710.0,7.8,-0.16,Action | Comedy | Drama | Mahou Shoujo,0.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TV,visual_novel,finished_airing,r+,False,2005.0,24.0,24.0,False,False,7.0,139816.0,6.5,-0.5,Comedy | Ecchi | Fantasy | Harem | Romance | School | Urban Fantasy,2.0,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
TV,original,finished_airing,pg_13,False,1979.0,43.0,25.0,False,False,7.78,69562.0,7.7,-0.08,Drama | Mecha | Military | Sci-Fi | Space,2.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
MOVIE,original,finished_airing,pg_13,False,1998.0,1.0,52.0,False,True,6.73,7401.0,6.3,-0.43,Drama | Mecha | Military | Romance | Sci-Fi,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
TV,original,finished_airing,pg_13,False,1985.0,50.0,24.0,False,False,7.92,45859.0,7.8,-0.12,Drama | Mecha | Military | Romance | Sci-Fi | Space,1.0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
TV,original,finished_airing,pg_13,False,1986.0,47.0,24.0,False,False,6.72,26315.0,6.6,-0.12,Comedy | Drama | Mecha | Military | Sci-Fi | Space,1.0,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
MOVIE,novel,finished_airing,pg_13,False,1988.0,1.0,120.0,False,True,7.71,35959.0,7.6,-0.11,Drama | Mecha | Military | Sci-Fi | Space,3.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
MOVIE,original,finished_airing,pg_13,False,1991.0,1.0,120.0,False,True,6.59,20842.0,6.3,-0.29,Drama | Mecha | Military | Sci-Fi | Space,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
TV,original,finished_airing,pg_13,False,1993.0,51.0,24.0,False,False,6.76,12980.0,6.6,-0.16,Drama | Mecha | Military | Sci-Fi | Space,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
TV,original,finished_airing,pg_13,False,1995.0,49.0,24.0,False,False,7.66,95354.0,7.1,-0.56,Drama | Mecha | Military | Sci-Fi | Space,3.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
TV,original,finished_airing,pg_13,False,1996.0,39.0,24.0,False,False,7.38,17882.0,7.2,-0.18,Adventure | Drama | Mecha | Sci-Fi | Space,1.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
TV,original,finished_airing,r,False,2002.0,50.0,24.0,False,False,7.74,102831.0,7.3,-0.44,Award Winning | Drama | Mecha | Military | Romance | Sci-Fi | Space,3.0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
TV,original,finished_airing,r,False,2004.0,50.0,24.0,False,False,7.17,70101.0,6.5,-0.67,Drama | Mecha | Military | Romance | Sci-Fi | Space,2.0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
TV,original,finished_airing,pg_13,False,1999.0,50.0,24.0,False,False,7.84,19741.0,8.0,0.16,Adventure | Award Winning | Drama | Mecha | Military | Romance | Sci-Fi | Space,1.0,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
TV,original,finished_airing,pg_13,False,1994.0,49.0,24.0,False,False,7.6,40409.0,7.4,-0.2,Drama | Mecha | Romance | Sci-Fi | Space,1.0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
TV,original,finished_airing,pg_13,False,2003.0,26.0,24.0,False,False,7.78,74383.0,7.4,-0.38,Action | Adventure | Sci-Fi,3.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
TV,original,finished_airing,pg_13,False,2004.0,26.0,24.0,False,False,7.4,53587.0,6.9,-0.5,Action | Girls Love | Mahou Shoujo | School,1.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TV,original,finished_airing,pg_13,False,2005.0,26.0,24.0,False,False,7.29,26244.0,6.9,-0.39,Comedy | Drama | Fantasy,1.0,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TV,manga,finished_airing,pg_13,False,2001.0,13.0,23.0,False,False,7.16,30414.0,6.7,-0.46,Drama | Mahou Shoujo | Reverse Harem | Romance | Shoujo,1.0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
TV,visual_novel,finished_airing,pg_13,False,2005.0,12.0,24.0,False,False,7.27,159619.0,6.8,-0.47,Drama | Romance | Supernatural,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
TV,manga,finished_airing,pg_13,False,2004.0,26.0,25.0,False,False,7.44,55336.0,7.1,-0.34,Childcare | Comedy | Drama | Romance | Shoujo,1.0,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
TV,manga,finished_airing,g,False,1994.0,74.0,24.0,False,False,7.46,6029.0,7.0,-0.46,Adventure | Comedy | Mahou Shoujo | Romance | Shoujo,0.0,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
TV,manga,finished_airing,r,False,2000.0,24.0,21.0,False,False,7.17,28827.0,6.5,-0.67,Adventure | Drama | Horror | Psychological | Reincarnation | Romance | Shoujo | Supernatural,4.0,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False
TV,manga,finished_airing,pg_13,False,2000.0,13.0,23.0,False,False,6.41,9961.0,5.9,-0.51,Comedy | Romance | School | Shounen,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
TV,manga,finished_airing,pg_13,False,1996.0,51.0,24.0,False,False,7.58,27185.0,7.1,-0.48,Drama | Love Polygon | Romance | School | Shoujo,1.0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
TV,manga,finished_airing,pg_13,False,2002.0,13.0,24.0,False,False,7.2,15211.0,6.6,-0.6,Adventure | Comedy | Fantasy | Sci-Fi | Shounen,0.0,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
TV,original,finished_airing,pg_13,False,2004.0,24.0,23.0,False,False,6.78,32609.0,6.3,-0.48,Adventure | Mecha | Sci-Fi,2.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
